Investor Name,Number of Company
Osage University Partners,1
The Raine Group,2
Malabar Investments,1
Loeb.NYC,1
GIC. Apis Partners,1
Soros Fund Management,2
RTP Global,1
Go-Ventures,1
China Media Group,2
Guangzhou Huiyin Aofeng Equity Investment Fund,2
Romulus Capital,1
Wakefield Group,1
Square Peg Capital,2
TDM Growth Partners,2
Info Edge,1
Softbank Capital,1
Liberty City Ventures,2
RRE Ventures,3
Flybridge Capital Partners,3
Lockheed Martin Ventures,1
Hillsven Capital,1
Fidelity Investments. RedBird Capital Partners,1
Emergence Capital Partners,3
Chicago Ventures,2
Roche Venture Fund,1
Octopus Ventures,1
Munich Re Ventures,4
CommerzVentures,1
Kibo Ventures,2
IMM Investment,2
NXC,1
V FUND,1
Green Pine Capital Partners,2
Revolution,1
Caterpillar,1
Relay Ventures,1
TTV Capital,2
Canapi Ventures,2
Knox Lane,1
Ainge Advisory,1
Carlson Private Capital Partners,1
Meritech Capital Partners,5
Expa,1
Pantera Capital,5
Section 32,1
Eastern Bell Capital 32,1
Trustbridge Partners,3
Sixth Street Growth,1
Zhangjiang Haocheng Venture Capital,1
Deer Park Road,1
Altamont Capital Partners,1
Eldridge,2
Lightspeed China Partners,2
Baidu Ventures,1
Banyan Capital,2
Sway Ventures,1
One Peak Partners,1
Valor Capital Group,3
Polychain Capital,5
SAIF Partners India,2
Valiant Capital Partners,1
Sapphire Ventures,4
GSR Ventures,3
Streamlined Ventures,1
CVF Capital Partners,1
ARCH Venture Partners,2
Cherry Ventures,2
Clocktower Technology Ventures,4
Dragonfly Capital,1
BAI Capital,1
Molten Ventures,1
Contrarian Ventures,1
Hitachi Ventures,1
L Capital Partners,1
ACE & Company,1
SEEK,1
Leaders Fund,1
Circle Ventures,2
August Capital,1
58.com,2
Zheshang Venture Capital,1
GP Capital,1
Western Capital Management,1
Toyota Motor Corporation,1
Mizuho Financial Group,1
FANUC,1
China Construction Bank,1
Bank of China,1
TPG Alternative & Renewable Technologies,1
Ireland Strategic Investment Fund,1
Capital Today,4
Magma Venture Partners,1
Qumra Capital,1
Bertelsmann Asia Investments,2
Viola Ventures,2
Eastern Bell Capital,4
Hongtai Capital Holdings,1
World Lab Innovation,1
Obvious Ventures,3
Jerusalem Venture Partners,1
Israel Growth Partners,1
Tiantu Capital,2
CMB International Capital,1
Vision Knight Capital,1
Highland Capital Partners,4
Tomales Bay Capital,1
Bain & Company,1
frst,1
Kima Ventures,1
Genesis Capital,1
MaC Venture Capital,1
FinVC,1
Blue Cloud Ventures,3
Undisclosed,2
Alta Ventures Mexico,1
SoftBank Group. Monashees+,1
Gradient Ventures,1
A&NN,1
Rusnano,1
5Y Capital,3
SciFi VC,1
Tao Capital Partners,3
Source Code Capital,6
Redpoint Ventures China,2
Japan Post Capital,1
Globis Capital Partners,1
D1 Capita Partners,1
Rethink Impact,1
Work-Bench,1
Northern Light Venture Capital,4
Xiaomi,1
FutureX Capital,1
Altimeter Capital,3
Quiet Capital,1
White Star Capital,1
Novator Partners,3
Almaz Capital Partners,1
Ayala Corporation,1
K9 Ventures,1
Gauss Ventures,1
Ventura Capital,1
dmg ventures,1
ClalTech,2
Oryzn Capital,1
Paradigm,6
EQT Ventures,2
Green Innovations,1
Maverick Capital,1
Hopu Investment Management,2
DC Thomson Ventures,1
Breega Capital,1
Iris Capital,2
360 Capital Partners,1
Siam Commercial Bank,1
SEED Capital,1
Greyhound Capital,2
Socii Capital,1
North Bridge Venture Partners,1
Betaworks Ventures,1
Porsche,1
InvestIndustrial,1
Volcanics Ventures,1
Vertex Ventures China,1
Quiet Ventures,1
ETFS Capital,1
Collab+Currency,1
Fifty Years Fund,2
Refactor Capital,2
Black Pearl Ventures,1
Stonebridge Ventures,1
Yuanta Investment Korea,1
Hony Capital,1
K2VC,3
Sky9 Capital,1
Pelion Venture Partners,3
e.ventures,2
TPG Capital,2
Declaration Partners,1
Maverick Ventures Israel,1
btov Partners,1
Automobile Industry Guidance Fund,1
ATP Investment,1
kt investment,1
The Carlyle Group,4
CVC Capital Partners,2
Fashion Tech Lab,1
Fidelity Investments,2
Vast Ventures,1
SOSV,2
Gunosy Capital,1
Das Capital,1
Future Ventures,2
Apeiron Investment Group,1
Moore Capital Management,2
Shanghai Puyin Industry,1
Funa Yuanchuang Technology,1
Blumberg Capital,3
BDC Venture Capital,1
Eleation Capital,1
Avenir Growth Capital,1
Winklevoss Capital,1
YL Ventures,1
QiMing Venture Partners,2
Chengwei Capital,1
Global Asset Capital,1
Alta Partners,2
Questa Capital,1
Echo Health Ventures,1
Sageview Capital,1
Samsung NEXT,1
CVS Health Partners,1
Altitude Life Science Ventures,1
A16z Crypto,1
Variant Fund,1
OpenSpace Ventures,1
Baseline Ventures,1
Harrison Metal,1
DataTribe,1
Energy Impact Partners,2
AllegisCyber Capital,1
.406 Ventures,1
Transamerica Ventures,1
Crane Venture Partners,1
Geekdom Fund,1
Gobi Partners,1
500 Startups,3
Ondine Capital,1
Access Industries,3
Crossbeam Venture Partners,1
Huobi Ventures,1
NFX,2
Boxin Capital,1
DT Capital Partners,1
Jove Equity Partners,1
Alpha Wave Global,1
Cybernaut Growth Fund,1
Yabeo Capital,1
Vulcan Capital,1
GAM Holding,1
People Electrical Appliance Group China,1
Zhongrong International Trust,1
enaya Capital,1
L Catterton,3
OMERS Private Equity,1
IndexVentures,1
GreatPoint Ventures,2
Altitude Life Science Ventures. T. Rowe Price,1
Morningside Venture Partners,1
Aker,1
HOF Capital,1
World Innovation Lab,1
Light Street Capital,1
TI Platform Management,1
Launchpad Venture Group,1
S Capital,2
BaltCap,1
Verissimo Ventures,1
IFC,1
Ajinomoto,1
Moderne Ventures,2
Oakhouse Partners,1
Bjarke Ingels Group,1
Guiyang Venture Capital,1
Longfor Capital,1
CAOGENZHIBEN GROUP,1
Guozhong Venture Capital Management,1
Shenzhen Capital Group,4
Oriental Fortune Capital,1
Centurium Capital,1
Cedarlake Capital,1
Unicom Innovation Venture Capital,2
CE-Ventures,1
BECO Capital,1
Nordstar,1
China Creation Ventures,2
Xingwang Investment Management,2
Co-Stone Venture Capital,1
Buhuo Venture Capital,1
Norma Investments,1
Mundi Ventures,1
Doqling Capital Partners,1
Anglo American,1
Camber Creek,2
Kairos HQ,1
DILA Capital,1
Founders Capital,1
MPM Capital,1
Astellas Venture Management,1
F2 Ventures,1
QiMing Venture Partnersl,1
Volkswagen,1
Vostok New Ventures,2
China Everbright Investment Management,1
Yinxinggu Capital,1
JOY Capital,1
Meituan Dianping,2
Madrone Capital Partners,1
Max Ventures,2
Mangrove Capital Partners,2
14W,2
Rubicon Technology Partners,1
Inclusive Capital Partners,1
Moonshots Capital,1
BoxGroup,2
Blu Venture Investors,1
Deciens Capital,1
Bezos Expeditions,2
Draper Esprit,2
Korelya Capital,1
Amiti Ventures,1
Providence Equity Partners,2
Rembrandt Venture Partners,2
Shea Ventures,2
VGames,1
Galaxy Interactive,2
Ant Group,2
Charoen Pokphand Group,1
Bow Wave Capital,1
Nyca Partners,1
Connect Ventures,2
GoldenTree Asset Management,1
PSG,2
ION Crossover Partners,1
SoftBank Latin America Fund,2
Brighton Park Capital,1
Workday Ventures,2
SV Angel,1
SingulariTeam,1
BP Ventures,1
First Light Capital Group,1
Human Capital,1
Origin Ventures,2
Fontinalis Partners,1
Sodexo Ventures,1
DeFi Technologies,1
Hypersphere Ventures,1
M13,2
Builders VC,1
